time,open,high,low,close,tick_volume
2025-02-18 04:00:00,1.04633,1.04642,1.04557,1.04574,1283
2025-02-18 05:00:00,1.04574,1.04595,1.04523,1.04554,1288
2025-02-18 06:00:00,1.04551,1.04633,1.04547,1.04613,1432
2025-02-18 07:00:00,1.04611,1.04692,1.04588,1.04636,2293
2025-02-18 08:00:00,1.04634,1.04692,1.04548,1.0457,2976
2025-02-18 09:00:00,1.04569,1.04651,1.04556,1.04639,2338
2025-02-18 10:00:00,1.04638,1.04671,1.04588,1.04622,2097
2025-02-18 11:00:00,1.04624,1.04651,1.04613,1.04628,1458
2025-02-18 12:00:00,1.04629,1.0467,1.0453,1.04555,2291
2025-02-18 13:00:00,1.04555,1.04572,1.0441799999999999,1.04449,2991
2025-02-18 14:00:00,1.0445,1.04548,1.04416,1.04526,2990
2025-02-18 15:00:00,1.04525,1.04672,1.04516,1.04661,3418
2025-02-18 16:00:00,1.04662,1.04696,1.04541,1.04569,2428
2025-02-18 17:00:00,1.04569,1.04569,1.04391,1.04459,2093
2025-02-18 18:00:00,1.0446,1.0448,1.04351,1.04441,1865
2025-02-18 19:00:00,1.0444,1.04497,1.04406,1.04452,1378
2025-02-18 20:00:00,1.04451,1.04479,1.04413,1.04479,1281
2025-02-18 21:00:00,1.04478,1.04494,1.04446,1.04454,920
2025-02-18 22:00:00,1.04455,1.04502,1.04436,1.045,1119
2025-02-18 23:00:00,1.04512,1.04512,1.04453,1.04483,679
2025-02-19 00:00:00,1.04483,1.04495,1.0444,1.04458,1037
2025-02-19 01:00:00,1.0446,1.04481,1.04412,1.04468,1573
2025-02-19 02:00:00,1.04466,1.04521,1.04446,1.04519,1309
2025-02-19 03:00:00,1.04518,1.04523,1.04476,1.04515,953
2025-02-19 04:00:00,1.04515,1.04531,1.04484,1.04524,788
2025-02-19 05:00:00,1.04524,1.04564,1.04487,1.04562,908
2025-02-19 06:00:00,1.04561,1.04614,1.04546,1.04549,1330
2025-02-19 07:00:00,1.0455,1.04594,1.04488,1.04513,2306
2025-02-19 08:00:00,1.04515,1.0456,1.04387,1.04408,2719
2025-02-19 09:00:00,1.04406,1.04437,1.04284,1.04294,2423
2025-02-19 10:00:00,1.04293,1.04301,1.04188,1.04239,2375
2025-02-19 11:00:00,1.04241,1.04331,1.04203,1.04246,3455
2025-02-19 12:00:00,1.04246,1.04318,1.04216,1.04282,2451
2025-02-19 13:00:00,1.04284,1.04352,1.04251,1.04338,2586
2025-02-19 14:00:00,1.04339,1.04378,1.04275,1.04342,2966
2025-02-19 15:00:00,1.04345,1.04414,1.04216,1.04241,3808
2025-02-19 16:00:00,1.0424,1.0425200000000001,1.0404,1.04048,3264
2025-02-19 17:00:00,1.04047,1.04132,1.04009,1.04099,2080
2025-02-19 18:00:00,1.041,1.04219,1.04086,1.04195,1839
2025-02-19 19:00:00,1.04196,1.04325,1.04182,1.04259,2388
2025-02-19 20:00:00,1.04256,1.04265,1.0421,1.04255,1536
2025-02-19 21:00:00,1.04253,1.04264,1.04218,1.04226,585
2025-02-19 22:00:00,1.04226,1.0425200000000001,1.04208,1.0425200000000001,659
2025-02-19 23:00:00,1.0425200000000001,1.04261,1.04201,1.0421,673
2025-02-20 00:00:00,1.0421,1.043,1.04197,1.04292,1492
2025-02-20 01:00:00,1.04292,1.04327,1.04188,1.04213,1805
2025-02-20 02:00:00,1.04213,1.04375,1.04203,1.04355,2582
2025-02-20 03:00:00,1.0435699999999999,1.04362,1.04269,1.04312,1435
2025-02-20 04:00:00,1.04311,1.0432,1.04241,1.04302,1181
2025-02-20 05:00:00,1.04303,1.04343,1.04269,1.04279,1180
2025-02-20 06:00:00,1.04278,1.04345,1.04248,1.04254,1553
2025-02-20 07:00:00,1.04253,1.04335,1.0423499999999999,1.04315,2368
2025-02-20 08:00:00,1.0431300000000001,1.04423,1.04295,1.04333,2855
2025-02-20 09:00:00,1.04331,1.04383,1.04288,1.0437400000000001,2207
